DEBUG 2024-05-17 08:35:18,663 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\common\actions\action_builder.py first seen with mtime 1715065725.9529266
DEBUG 2024-05-17 08:35:18,664 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1714980982.9962518
DEBUG 2024-05-17 08:35:18,665 autoreload File C:\python310\Lib\wsgiref\__init__.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,665 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1714980986.776097
DEBUG 2024-05-17 08:35:18,667 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1714980985.5159674
DEBUG 2024-05-17 08:35:18,668 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1714980986.5599391
DEBUG 2024-05-17 08:35:18,668 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1714980985.5159674
DEBUG 2024-05-17 08:35:18,669 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\locks.py first seen with mtime 1714980986.610999
DEBUG 2024-05-17 08:35:18,670 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1714980986.6860318
DEBUG 2024-05-17 08:35:18,670 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1714980986.796128
DEBUG 2024-05-17 08:35:18,671 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1714980983.0060525
DEBUG 2024-05-17 08:35:18,672 autoreload File C:\python310\Lib\email\base64mime.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,672 autoreload File C:\python310\Lib\importlib\_abc.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,673 autoreload File C:\python310\Lib\email\parser.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,674 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1714980986.94608
DEBUG 2024-05-17 08:35:18,674 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\config\settings.py first seen with mtime 1715927716.6552212
DEBUG 2024-05-17 08:35:18,675 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1714980981.9303937
DEBUG 2024-05-17 08:35:18,676 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\common\actions\mouse_button.py first seen with mtime 1715065725.9685483
DEBUG 2024-05-17 08:35:18,676 autoreload File C:\python310\Lib\contextvars.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,677 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1714980986.5963075
DEBUG 2024-05-17 08:35:18,678 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1714980986.585897
DEBUG 2024-05-17 08:35:18,678 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1714980982.3762238
